name,description,address,price,contact_email,contact_phone,website_url,amenities
"UFS Main Campus Residence","Official university residence with full amenities","University of the Free State, Bloemfontein, 9300",3500,"residence@ufs.ac.za","+27514019111","https://www.ufs.ac.za","WiFi,Laundry,Security,Study Areas,Parking,Meals"
"Kovsies Student Village","Modern student accommodation near campus","123 University Road, Bloemfontein, 9300",3200,"info@kovsiesvillage.co.za","+27514012345","https://kovsiesvillage.co.za","WiFi,Security,Parking,Kitchen,Study Room"
"Bloemfontein Student Lodge","Affordable student accommodation","456 Student Street, Bloemfontein, 9301",2800,"info@studentlodge.co.za","+27514023456","","WiFi,Security,Parking,Kitchen"
"Campus View Apartments","Premium student apartments with city views","789 Campus Avenue, Bloemfontein, 9300",4200,"info@campusview.co.za","+27514034567","https://campusview.co.za","WiFi,Gym,Pool,Security,Parking,Study Areas"
"UFS Park Residence","Quiet residence in park setting","321 Park Lane, Bloemfontein, 9300",3800,"park@ufspark.co.za","+27514045678","","WiFi,Laundry,Security,Garden,Parking"
"Student Haven","Comfortable accommodation for students","654 Haven Street, Bloemfontein, 9301",3000,"info@studenthaven.co.za","+27514056789","","WiFi,Security,Kitchen,Study Room"
"Kovsie Koshuis","Traditional student residence","987 Tradition Road, Bloemfontein, 9300",3600,"info@kovsiekoshuis.co.za","+27514067890","","WiFi,Meals,Security,Study Areas,Sports"
"Modern Student Flats","Contemporary student living","147 Modern Street, Bloemfontein, 9301",3400,"info@modernflats.co.za","+27514078901","","WiFi,Security,Parking,Kitchen,Laundry"
"University Heights","High-rise student accommodation","258 Heights Boulevard, Bloemfontein, 9300",3900,"info@uniheights.co.za","+27514089012","https://uniheights.co.za","WiFi,Gym,Security,Parking,Study Areas,City Views"
"Bloemfontein Student Suites","Luxury student suites","369 Suite Avenue, Bloemfontein, 9300",4500,"info@studentsuites.co.za","+27514090123","","WiFi,Gym,Pool,Security,Parking,Concierge"
